,station_number,wban_number,year,month,day,mean_temp,num_mean_temp_samples,mean_dew_point,num_mean_dew_point_samples,mean_sealevel_pressure,num_mean_sealevel_pressure_samples,mean_station_pressure,num_mean_station_pressure_samples,mean_visibility,num_mean_visibility_samples,mean_wind_speed,num_mean_wind_speed_samples,max_sustained_wind_speed,max_gust_wind_speed,max_temperature,max_temperature_explicit,min_temperature,min_temperature_explicit,total_precipitation,snow_depth,fog,rain,snow,hail,thunder,tornado
405,747880,12810,1949,5,8,78.8000030518,24,67.6999969482,24.0,1011.59997559,24.0,1011.09997559,24.0,7.59999990463,24.0,5.0,24.0,12.0,,72.0,False,,,0.0399999991059,,False,False,False,False,False,False
406,581020,99999,1960,6,2,85.0,8,51.7999992371,8.0,1004.29998779,8.0,,,13.0,8.0,9.19999980927,8.0,14.0,,70.0,False,,,0.0,,False,False,False,False,False,False
407,61070,99999,1973,4,17,43.2999992371,7,36.4000015259,7.0,1017.0,7.0,,,11.0,7.0,29.3999996185,7.0,35.9000015259,,41.0,True,,,,,False,False,False,False,False,False
408,725745,24057,1985,1,9,16.6000003815,15,13.1999998093,15.0,1015.90002441,15.0,,,7.59999990463,15.0,5.59999990463,15.0,11.1000003815,,3.0,False,,,0.0399999991059,3.90000009537,False,False,False,False,False,False
409,743946,99999,1995,10,31,42.2000007629,14,26.2999992371,14.0,,,,,35.7000007629,14.0,4.69999980927,14.0,7.0,,27.0,True,,,0.0,,False,False,False,False,False,False
410,298370,99999,1981,3,18,19.7000007629,6,10.1000003815,6.0,1015.90002441,6.0,,,31.1000003815,6.0,1.60000002384,6.0,3.90000009537,,1.39999997616,False,,,0.0,,False,False,False,False,False,False
411,631700,99999,2006,4,11,81.4000015259,6,57.2000007629,6.0,,,,,8.5,6.0,4.80000019073,6.0,15.0,,75.1999969482,True,,,0.0,,False,False,False,False,False,False
412,726410,14837,1975,6,28,77.1999969482,24,65.4000015259,24.0,1019.09997559,24.0,988.099975586,24.0,4.59999990463,24.0,5.69999980927,24.0,11.1000003815,,64.0,False,,,0.0,,True,True,True,True,True,True
413,321160,99999,1985,11,29,13.3999996185,4,,,1005.40002441,4.0,,,31.1000003815,4.0,4.90000009537,4.0,7.80000019073,23.2999992371,9.30000019073,True,,,0.0,0.40000000596,False,False,False,False,False,False
414,383530,99999,2003,7,24,66.1999969482,17,48.2000007629,17.0,1012.79998779,6.0,927.599975586,16.0,7.40000009537,16.0,4.59999990463,17.0,11.6999998093,,55.5999984741,True,,,0.0,,False,False,False,False,False,False
415,682440,99999,1977,12,11,83.8000030518,4,64.8000030518,4.0,,,,,38.7999992371,4.0,1.29999995232,4.0,5.09999990463,,75.1999969482,True,,,0.0,,False,False,False,False,False,False
416,725115,14711,2000,9,4,77.9000015259,24,69.9000015259,24.0,1011.5,23.0,,,8.10000038147,24.0,6.09999990463,24.0,14.0,,72.6999969482,False,,,0.0,,True,True,True,True,True,True
417,561960,99999,1974,1,20,40.0999984741,6,35.5999984741,6.0,1019.59997559,6.0,,,2.90000009537,6.0,0.300000011921,6.0,1.89999997616,,28.3999996185,False,,,0.0,,True,True,True,True,True,True
418,725498,99999,2001,1,29,31.7999992371,23,28.2999992371,23.0,,,,,5.0,23.0,5.30000019073,23.0,9.89999961853,,28.3999996185,True,,,0.0,,False,False,False,False,False,False
419,167420,99999,1994,4,4,60.4000015259,22,53.2999992371,22.0,,,,,6.59999990463,22.0,7.19999980927,22.0,9.89999961853,,53.5999984741,True,,,0.0,,False,False,False,False,False,False
420,722530,12921,2001,1,21,44.5999984741,24,32.9000015259,24.0,1026.80004883,24.0,,,9.89999961853,24.0,6.40000009537,24.0,12.0,16.8999996185,28.2000007629,False,,,0.0,,True,True,True,True,True,True
421,474240,99999,2010,1,31,31.7999992371,24,22.8999996185,24.0,1014.29998779,24.0,1013.29998779,24.0,16.7999992371,24.0,7.5,24.0,14.0,,20.7000007629,False,,,0.019999999553,,False,False,False,False,False,False
422,402500,99999,1973,11,16,57.9000015259,5,47.7999992371,5.0,1017.90002441,5.0,939.0,5.0,12.3999996185,5.0,3.40000009537,5.0,9.89999961853,,50.0,False,,,0.0,,False,False,False,False,False,False
423,727670,94014,2008,10,20,37.2000007629,24,26.2000007629,24.0,1029.0,24.0,,,10.0,24.0,5.59999990463,24.0,18.1000003815,27.0,21.8999996185,False,,,0.0,,False,False,False,False,False,False
424,320690,99999,1993,4,8,37.2000007629,8,26.0,8.0,1016.09997559,8.0,1015.79998779,8.0,24.1000003815,8.0,6.09999990463,8.0,13.6000003815,25.2999992371,30.7000007629,False,,,0.0399999991059,0.40000000596,False,False,False,False,False,False
425,747812,99999,2002,5,16,69.9000015259,13,50.7999992371,13.0,,,,,10.0,13.0,5.5,13.0,9.89999961853,15.0,53.5999984741,True,,,0.0,,False,False,False,False,False,False
426,723418,13977,1951,11,21,49.2999992371,24,35.7000007629,24.0,1022.5,24.0,1009.0,24.0,9.89999961853,24.0,8.0,24.0,14.0,,42.0999984741,True,,,,,False,False,False,False,False,False
427,719485,99999,2002,10,14,11.6999998093,11,7.59999990463,11.0,1027.5,11.0,,,8.89999961853,11.0,12.3999996185,11.0,15.0,,10.3999996185,True,,,,,False,False,False,False,False,False
428,725473,99999,1992,7,15,64.1999969482,24,56.0999984741,24.0,,,,,9.19999980927,24.0,4.69999980927,24.0,8.89999961853,,56.7999992371,True,,,0.0,,False,False,False,False,False,False
429,140230,99999,1997,10,15,40.5,4,30.6000003815,4.0,1014.40002441,4.0,985.0,4.0,21.7000007629,4.0,1.89999997616,4.0,3.90000009537,,27.5,False,,,0.0,,False,False,False,False,False,False
430,84950,99999,1979,4,25,63.0999984741,17,44.7999992371,17.0,1019.59997559,8.0,,,11.8999996185,17.0,12.3000001907,17.0,17.8999996185,,51.7999992371,False,,,0.0,,False,False,False,False,False,False
431,688420,99999,1985,9,19,58.0999984741,4,51.5,4.0,1016.20001221,4.0,,,18.6000003815,4.0,15.1999998093,4.0,26.0,,53.7999992371,False,,,0.0500000007451,,False,False,False,False,False,False
432,475820,99999,2004,2,6,32.0999984741,24,18.8999996185,24.0,1011.70001221,24.0,1009.0,24.0,7.30000019073,7.0,12.1999998093,24.0,21.0,,27.5,False,,,0.0599999986589,,False,False,False,False,False,False
433,77800,99999,2004,11,30,50.4000015259,19,42.5999984741,19.0,1011.90002441,12.0,1009.09997559,12.0,13.8000001907,13.0,7.80000019073,19.0,15.8999996185,26.0,39.7000007629,True,,,0.019999999553,,False,False,False,False,False,False
434,603870,99999,2002,11,5,60.5999984741,5,56.0999984741,5.0,1018.59997559,5.0,,,6.19999980927,5.0,0.5,4.0,1.89999997616,,57.2000007629,False,,,0.239999994636,,False,False,False,False,False,False
435,476040,99999,2008,12,24,44.0,24,32.9000015259,24.0,1016.59997559,24.0,1015.70001221,24.0,10.6999998093,7.0,6.5,24.0,12.0,,37.2000007629,False,,,0.34999999404,,False,False,False,False,False,False
436,623060,99999,1994,7,5,78.3000030518,9,69.0999984741,9.0,1008.20001221,8.0,,,4.40000009537,9.0,6.19999980927,9.0,11.1000003815,,68.6999969482,True,,,0.0,,False,False,False,False,False,False
